timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580423524755675,-2.2887 0.220679  2.60173,0.00689151 -0.00740871  -0.0283214,0.0670189  0.343185 0.0675641,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524756820,-2.28873 0.220698   2.6017,-0.00421725 0.000133656  -0.0324568,0.0716084  0.338119 0.0720368,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524757606,-2.2887 0.220684  2.60175, 0.00717684  -0.00397329 -0.000461571,0.0750131   0.35544  0.069984,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524758688,-2.28868 0.220652   2.6018,0.0132909 -0.0151851  0.0202922,0.0739783  0.338101 0.0687157,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524759659,-2.28872 0.220681  2.60178,-0.00379991 -0.000933966    0.0109419,0.0765318  0.333852 0.0712858,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524760663,-2.28874 0.220702  2.60176,-0.0140867  0.0090284 0.00204842,0.0746459  0.339082  0.073155,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524761625,-2.28874  0.22074  2.60185,-0.00873016   0.0224692   0.0323137,0.0714749  0.313909 0.0676642,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524762624,-2.28876 0.220742  2.60179,-0.0121926    0.017544 0.000422392,0.0777668  0.309709 0.0757085,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524763601,-2.28869 0.220692  2.60176,  0.014835 -0.00795085  -0.0119742,0.0736445  0.324924 0.0760923,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524764649,-2.2887 0.220679  2.60175,0.0113307 -0.0139663 -0.0168538,0.0741285   0.34085  0.076109,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524765650,-2.28868 0.220646  2.60174, 0.015764 -0.0232718 -0.0165947,0.0761146  0.347952 0.0759087,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524766788,-2.28876 0.220648  2.60178,-0.0209788 -0.0157699 0.00499016,0.0808042  0.348176 0.0722037,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524767598,-2.28877 0.220654  2.60184,-0.0229038 -0.00725828   0.0278923,0.0771493  0.346971 0.0642596,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524768655,-2.2888 0.220684  2.60183,-0.0278849 0.00856167  0.0186201,0.0760812  0.340787 0.0692497,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524769652,-2.28882 0.220684  2.60182,-0.0256884 0.00795209 0.00777005,0.0752634  0.331592  0.066279,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524770649,-2.28876 0.220707  2.60178,0.00869241   0.014829 -0.0100453,0.0729937  0.304218 0.0697671,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524771608,-2.28883 0.220723  2.60181,-0.0163964   0.0160046 -0.00063772,0.0800032  0.302971  0.068966,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524772607,-2.28883 0.220753  2.60175,-0.0123119   0.022443 -0.0216593,0.0815886   0.30803 0.0736557,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524773604,-2.2888 0.220772  2.60173,0.00256089  0.0221786 -0.0218778,0.0842589  0.305119 0.0681816,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524774664,-2.28881 0.220734  2.60182, 0.00244441 -0.000401609    0.0191397,0.0806207  0.329475 0.0678979,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524775664,-2.28874 0.220753  2.60189,0.0287584 0.00351223  0.0421681,0.0796026  0.313292 0.0676642,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524776810,-2.28869 0.220738  2.60183, 0.0400843 -0.00365924   0.0113098,0.0718421  0.314653 0.0674473,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524777620,-2.28866 0.220778  2.60182, 0.0387394   0.0112689 -0.00242301,0.0701064  0.306554 0.0656949,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524778662,-2.28865 0.220732  2.60183,  0.0302233  -0.00852931 -0.000898031,0.0726932  0.330264 0.0663124,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524779667,-2.28862 0.220698  2.60178,0.0277185 -0.0202493 -0.0174316,0.0732941   0.32167 0.0667797,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524780671,-2.2887 0.220677  2.60178,-0.0152719  -0.023561  -0.015455,0.0704569  0.331943 0.0689827,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524782020,-2.28879 0.220713  2.60182,-0.0431059 -0.00253776  0.00691875,0.0757641  0.329923 0.0637756,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524782602,-2.28879 0.220764  2.60179,-0.0431059   0.0210225 -0.00671137,0.0757641  0.323544 0.0720869,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524783608,-2.28878 0.220778  2.60176,-0.0240761  0.0225377 -0.0150521,0.0796026  0.322922 0.0743733,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524784658,-2.28881 0.220761  2.60174,-0.0245119  0.0095068 -0.0174107,0.0785345  0.318205 0.0722872,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524785649,-2.28875 0.220721  2.60181,0.00717757 -0.0102791  0.0124299,0.0757808  0.311113 0.0653611,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524786775,-2.28873 0.220717  2.60183,0.0169708 -0.011637 0.0199521,0.0718588  0.319077 0.0621901,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524787602,-2.28867  0.22069  2.60182,0.0372272 -0.0187104  0.0115997,0.0623125  0.329295 0.0617896,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524788656,-2.28863 0.220673  2.60188,0.0432213 -0.0197377  0.0307562,0.0593752  0.336666 0.0568663,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524789676,-2.2887 0.220665  2.60183,0.00143161  -0.0163537 0.000562273,0.0682539  0.333008 0.0677143,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524790657,-2.28878 0.220709  2.60178,-0.0352172 0.00731802 -0.0191879,0.0698394  0.321271 0.0685988,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524791661,-2.28879 0.220768  2.60183,  -0.033642    0.0304356 -0.000595378,0.0748462  0.308368 0.0676642,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524792600,-2.28877 0.220736  2.60178,-0.0154341  0.0114801 -0.0152721,0.0798696  0.312388 0.0649439,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524793597,-2.28875 0.220734  2.60178,-0.000311527   0.00524216   -0.0127776,0.0794357  0.303482 0.0645934,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524794638,-2.28873 0.220682  2.60183,0.00894683 -0.0178429 0.00981385,0.0751299  0.323406 0.0609051,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524795647,-2.28877 0.220694  2.60174,-0.00463774  -0.0106229  -0.0233691,0.0748629  0.312633 0.0704013,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524796808,-2.28867 0.220703  2.60168, 0.0319476 -0.00329265  -0.0408556,0.069539  0.313726 0.0735556,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524797612,-2.2887 0.220711  2.60174, 0.0131781  0.00185021 -0.00671972,0.0692719  0.314591  0.068699,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524798664,-2.28875 0.220694  2.60184,-0.0112446 -0.00430941   0.0354945,0.077917  0.319327 0.0650774,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524799658,-2.28874 0.220682  2.60183,-0.00675099 -0.00763551   0.0278802,0.0773162  0.314156  0.064076,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524800661,-2.28871   0.2207   2.6018,0.00704675 0.00101912 0.00715205,0.0786513  0.314471 0.0686155,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524801655,-2.28874 0.220686   2.6018,-0.00354287 -0.00327793 0.000814852,0.0792855   0.31915 0.0703011,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524802615,-2.2887 0.220631  2.60184,0.00855663 -0.0232593   0.015485,0.0760144  0.330496 0.0611387,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524803627,-2.28873 0.220665  2.60185,-0.00336061 -0.00445398   0.0135963,0.0700563  0.342048  0.059887,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524804653,-2.2887 0.220717  2.60182, 0.00730117    0.0183028 -3.28105e-05,0.066101  0.353219 0.0644766,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524805658,-2.28873 0.220753  2.60178,-0.00495727   0.0292236  -0.0178783,0.0670523  0.334591 0.0661622,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524806789,-2.28873 0.220703  2.60178,-0.00311687  0.00255015  -0.0167102,0.0700063  0.341438  0.065795,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524807613,-2.28877 0.220688  2.60175,-0.0190364 -0.00669428  -0.0214584,0.0826568  0.332904 0.0706683,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524808673,-2.28875 0.220703  2.60174,-0.00768786 -0.00139448  -0.0199811,0.0812048  0.305773 0.0703512,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524809645,-2.28876 0.220688  2.60175,-0.00719561 -0.00629441   -0.005767,0.0813717  0.325083 0.0681315,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524810653,-2.28877 0.220606  2.60177,-0.00561148  -0.0359987  0.00429905,0.073995  0.335778 0.0698338,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524811642,-2.28875 0.220648  2.60176,0.0051708 -0.0114281 0.00102748,0.0669187  0.310311 0.0724207,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524812593,-2.28873 0.220681  2.60187,0.0113771 0.00713054   0.043461,0.0723428  0.318207 0.0622569,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524813606,-2.28872 0.220753   2.6019,0.0126172 0.0359436  0.044282,0.0799364  0.290625 0.0586019,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524814605,-2.28874 0.220707  2.60186,0.00176747  0.0106582  0.0172887,0.0767654  0.314351 0.0597034,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524815651,-2.2887 0.220721  2.60188,0.0125479 0.00960747  0.0137708,0.0780171   0.32332 0.0577007,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524816765,-2.28866 0.220679  2.60182,0.0262685 -0.0108534 -0.0175902,0.0735945  0.338377 0.0618397,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
