timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580424332128189,-0.0274497    1.45556,0.00765816   -1.49976,0.0489819 -0.474965,   0 -2111,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332129189,-0.0274763    1.45414,-0.00347786    -1.47322,0.0576615 -0.490107,      0 -2109.19,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332130219,-0.027471   1.45268,-0.00131524    -1.46324,0.0587463 -0.481838,      0 -2109.19,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332131191,-0.0274666    1.45123,0.000793581    -1.45662,0.0594974  -0.45295,      0 -2108.15,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332132224,-0.0274634     1.4499,0.00201221   -1.40825,0.0564193 -0.475444,      0 -2108.15,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332133188,-0.027485   1.44854,-0.00660708    -1.37936,0.052349 -0.480943,      0 -2109.27,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332134196,-0.0274515    1.44712,0.00728007    -1.3867,0.0496018 -0.448534,      0 -2109.27,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332135186,-0.0275011     1.4458,-0.0124366   -1.36181,0.0599205 -0.486045,      0 -2110.31,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332136215,-0.0275105    1.44447,-0.0138039   -1.34744,0.0586281 -0.487795,      0 -2110.31,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332137223,-0.0275165    1.44307,-0.011931  -1.36076,0.0646389 -0.473861,      0 -2109.19,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332138199,-0.0274948    1.44166,0.000702704    -1.38037,0.0599254 -0.479568,      0 -2108.15,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332139195,-0.0275262    1.44021,-0.00945812    -1.40945,0.0631264 -0.476652,      0 -2108.15,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332140230,-0.0275221     1.4387,-0.00524805    -1.45571,0.0633031 -0.460219,      0 -2106.28,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332141204,-0.027469   1.43723,0.0171355  -1.46794,0.0597546 -0.469258,      0 -2106.28,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332142226,-0.0274566    1.43584,0.0189997  -1.44688,0.0623332 -0.482276,      0 -2106.28,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332143152,-0.0274972    1.43434,-0.0019556   -1.46249,0.0639697 -0.446389,      0 -2106.28,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332144205,-0.0275035    1.43303,-0.00637963    -1.40896,0.0634101 -0.481068,      0 -2106.28,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332145203,-0.0274849    1.43171,0.00137118   -1.36679,0.0578387 -0.489628,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332146213,-0.0274484    1.43029,0.0153258  -1.37715,0.0557936 -0.454241,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332147212,-0.0274474    1.42892,0.0123386  -1.37456,0.0596914 -0.471507,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332148185,-0.0274966     1.4275,-0.0105547   -1.39072,0.0625829 -0.459302,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332149182,-0.0274599    1.42602,0.00379977   -1.42362,0.0631011 -0.432455,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332150217,-0.0274594    1.42466,0.00361914   -1.40671,0.0581927 -0.483171,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332151202,-0.0274578    1.42318,0.00322102   -1.43406,0.0580437 -0.482046,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332152789,-0.0274824     1.4217,-0.00724448    -1.45682,0.0631735 -0.466321,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332153196,-0.0274758    1.42026,-0.00366443    -1.45391,0.0650895 -0.492502,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332154176,-0.0274226    1.41874,0.0178215  -1.48074,0.0525866 -0.481838,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.803859 
1580424332155184,-0.0274098    1.41719,0.0193102  -1.51272,0.0490332 -0.450075,      0 -2106.97,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332156205,-0.0274029    1.41574,0.0160469  -1.49558,0.0468986 -0.470091,      0 -2106.97,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332157178,-0.0274485    1.41434,-0.00730108    -1.45923,0.0528233  -0.48667,      0 -2106.97,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332158228,-0.0274355    1.41283,-0.00333511    -1.47236,0.0542134 -0.466884,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332159209,-0.027474   1.41146,-0.017239  -1.43444,0.0656179 -0.494772,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332160224,-0.0275248    1.41005,-0.0323392   -1.41595,0.0681832 -0.489461,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332161182,-0.0275563    1.40856,-0.0352368   -1.44053,0.0727285 -0.448867,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332162229,-0.0275012    1.40709,-0.00265533    -1.45249,0.0664936 -0.454262,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332163222,-0.0274583    1.40567,0.0191672  -1.44397,0.0579464 -0.443327,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332164177,-0.0274504    1.40418,0.019948 -1.45938,0.0533717 -0.432017,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332165182,-0.0274706    1.40273,0.00661501   -1.46111,0.0521813 -0.468612,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332166173,-0.0274143    1.40124,0.0239114  -1.47203,0.0468954 -0.439994,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.802787 
